nome,descricao,preco,preco_broto,categoria,ativo,is_taxa
534,,10,0,Bebida,0,0
CERVEJA CORONA LONG NEK,,14,0,Bebida,1,0
CERVEJA HEINEKEN 369ML,,7,0,Bebida,1,0
CERVEJA HEINEKEN 600ML,,18,0,Bebida,1,0
CERVEJA HEINEKEN LONG NEK,,12,0,Bebida,1,0
CERVEJA ORIGINAL 600ML,,16,0,Bebida,1,0
CERVEJA SKOL 269ML,,5,0,Bebida,1,0
COCA COLA 1L,,13,0,Bebida,1,0
COCA COLA 200ML,,3,0,Bebida,1,0
COCA COLA 2L,,16,0,Bebida,1,0
COCA COLA 600ML,,9,0,Bebida,1,0
COCA COLA LATA,,6,0,Bebida,1,0
COCA COLA PROMO,COCA COLA PROMO,-0.01,0,Bebida,1,0
COCA COLA ZERO 1L,,13,0,Bebida,1,0
COCA COLA ZERO 200ML,,3,0,Bebida,0,0
COCA COLA ZERO 2L,,16,0,Bebida,1,0
COCA COLA ZERO 600 ML,,9,0,Bebida,1,0
COCA COLA ZERO LATA ,,6,0,Bebida,1,0
DOLLY GUARANÁ 2L,,10,0,Bebida,1,0
DOLLY GUARANÁ PROMO,DOLLY GUARANÁ PROMO,-0.01,0,Bebida,1,0
DOLLY LIMÃO 2L,,10,0,Bebida,1,0
DOLLY LIMÃO PROMO,DOLLY LIMÃO PROMO,-0.01,0,Bebida,1,0
FANTA LARANJA 2L,,15,0,Bebida,1,0
FANTA LARANJA 600ML,,9,0,Bebida,1,0
FANTA LARANJA LATA,,6,0,Bebida,1,0
FANTA UVA 2L,,15,0,Bebida,1,0
FANTA UVA LATA,,6,0,Bebida,1,0
"GUARANÁ ANTARCTICA 1,5L",,13,0,Bebida,1,0
GUARANÁ ANTARCTICA 1L,,12,0,Bebida,1,0
GUARANÁ ANTARCTICA 200ML,,3,0,Bebida,1,0
GUARANÁ ANTARCTICA 2L,,15,0,Bebida,1,0
GUARANÁ ANTARCTICA 350ML,,6,0,Bebida,1,0
H20 LIMONETO 500ML,,7,0,Bebida,1,0
H2O LIMÃO 500ML,,7,0,Bebida,1,0
SODA ITALIANA,SODA ITALIANA,18,0,Bebida,1,0
SPRITE 2L,,15,0,Bebida,1,0
SUCO DEL VALLE LARANJA 1L,,13,0,Bebida,1,0
SUCO DEL VALLE LATA 290ML,,5,0,Bebida,1,0
SUCO DEL VALLE MANGA LATA 290ML,,5,0,Bebida,1,0
SUCO DEL VALLE PESSEGO LATA 290ML,,5,0,Bebida,1,0
SUCO DEL VALLE PÊSSEGO 1L,,13,0,Bebida,1,0
SUCO DEL VALLE UVA 1L,,13,0,Bebida,1,0
VINHO BRANCO SECO,,35,0,Bebida,1,0
VINHO BRANCO SUAVE,,35,0,Bebida,1,0
VINHO ROSE SUAVE,,35,0,Bebida,1,0
VINHO TINTO BORDÊ SECO,,35,0,Bebida,1,0
VINHO TINTO BORDÔ SUAVE,,35,0,Bebida,1,0
ÁGUA COM GAS 510ML,,3,0,Bebida,1,0
ÁGUA SEM GAS 510ML,,3,0,Bebida,1,0
10,,10,0,Outros,0,0
106,,10,0,Outros,0,0
107,,10,0,Outros,0,0
108,,10,0,Outros,0,0
109,,10,0,Outros,0,0
11,,10,0,Outros,0,0
110,,10,0,Outros,0,0
111,,10,0,Outros,0,0
112,,10,0,Outros,0,0
113,,10,0,Outros,0,0
114,,10,0,Outros,0,0
115,,10,0,Outros,0,0
116,,10,0,Outros,0,0
117,,10,0,Outros,0,0
118,,10,0,Outros,0,0
119,,10,0,Outros,0,0
120,,10,0,Outros,0,0
121,,10,0,Outros,0,0
122,,10,0,Outros,0,0
123,,10,0,Outros,0,0
124,,10,0,Outros,0,0
125,,10,0,Outros,0,0
126,,10,0,Outros,0,0
127,,10,0,Outros,0,0
128,,10,0,Outros,0,0
129,,10,0,Outros,0,0
130,,10,0,Outros,0,0
131,,10,0,Outros,0,0
132,,10,0,Outros,0,0
133,,10,0,Outros,0,0
134,,10,0,Outros,0,0
135,,10,0,Outros,0,0
136,,10,0,Outros,0,0
137,,10,0,Outros,0,0
138,,10,0,Outros,0,0
139,,10,0,Outros,0,0
140,,10,0,Outros,0,0
141,,10,0,Outros,0,0
142,,10,0,Outros,0,0
143,,10,0,Outros,0,0
144,,10,0,Outros,0,0
145,,10,0,Outros,0,0
146,,10,0,Outros,0,0
147,,10,0,Outros,0,0
148,,10,0,Outros,0,0
149,,10,0,Outros,0,0
150,,10,0,Outros,0,0
